Country,Family Importance,Friends Inportance,Work Importance,Leisure Time Importance,Think of Life Often,Proud of Nationality,Completely Satisfied with Life,Health
Argentina,90.2,49.7,73.4,35.1,50.3,64.6,21.6,24.9
Chile,96.4,29.1,74.8,53.3,50.3,71.6,19.2,19.8
China,60.2,19.9,49,7.1,31.7,24.7,14.1,29.8
India,91.9,39.2,76.5,27.7,31.8,66.8,9.4,20.4
Iraq,97.3,59.6,85.2,30.5,48.1,76.5,4.9,24.6
Japan,91.3,46.6,46.6,42.3,25,21.1,4.6,14.6
South Korea,89.6,44.8,62.3,23.8,41.3,17.4,8.7,14
Mexico,96.6,37.8,86.1,49.7,42.5,78.8,43.6,19.3
Morocco,93.4,37.2,89,38.6,71.4,91.2,14.3,28.3
Peru,82.4,24.6,68.2,22.8,53.2,76.3,14.7,11.3
South Africa,95.2,34.3,79.3,35.4,55.5,74.5,14.1,46.6
Spain,85.4,46.9,55.5,38.2,21.8,60.2,10.2,19.6
Sweden,89.4,70.7,54.1,53.9,36.6,38.7,16.3,
Egypt,96.4,37.3,71.5,9.1,51.2,81.6,0.1,19.7
United States,95.3,64.2,53.6,42.5,57.8,71.1,15.9,41.9
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
