Country,Family Importance,Friends Importance,Work Importance,Leisure Time Importance,Think of Life Often,Proud of Nationality,Completely Satisfied with Life,Very Good Health
Argentina,91.4,59.4,70.4,40.1,34.1,61.1,22.5,33.2
Australia,93.7,57.6,34.5,44.8,40.7,68.7,8.1,26.3
Brazil,86.4,37.1,65.3,27,56.8,39,24.3,27.5
Chile,90.2,23.6,62.3,47.2,36.3,58.6,15.1,16.7
China,78.1,30.3,43.7,11.4,27,22.4,14.3,33.3
Cyprus,93.3,61.6,55.1,50.8,44.2,90.1,13,41.9
Germany,81.5,52.4,49.6,29.7,28.4,49.3,6.8,26.3
India,90.1,42.3,67.9,23.6,24.4,20,15.8,21.9
Iraq,95.9,59.7,82.2,31.2,42.6,68.8,3.3,17.6
Japan,91.3,44.9,47.4,40.3,23.6,81.7,4.6,13.5
South Korea,92.3,44.5,61.9,24.1,39.6,20.9,3.6,13.1
Malaysia,96.2,43.3,70.4,39.3,23.7,19,7.2,27.6
Mexico,94.9,36.1,84.9,54.9,53,69.1,34,22.1
Morocco,96,52.2,85.6,23.7,64.6,82.9,3.3,38.4
Netherlands,80,57.6,30.9,55.6,33.2,57.7,9.6,24.5
New Zealand,93.3,54.9,34.6,48.2,40.1,26.1,21.4,36.5
Peru,81.4,21.9,71.2,32.3,35.7,66.4,18.8,7.3
Poland,93.6,34.7,61,29.8,32.8,62.1,12.6,17.8
Romania,85,24.1,53.5,26.1,51.2,37.4,4.3,9.9
Russia,89,37.4,48.4,29.3,39.8,44.2,8.7,6.2
South Africa,95.6,33.9,77.4,37.1,50.5,77.7,17.4,40.4
Spain,88.9,49.3,51.9,43.5,16.1,58.3,5.8,19.9
Sweden,92.1,71.3,53.2,53.6,31.1,40.4,11.6,34.8
Thailand,86,33.1,57,25.9,45,85.1,10.3,21.6
Ukraine,86.8,37.5,39.1,29.6,35.8,30.3,4.2,7.6
Egypt,97.7,43.2,63.1,13.3,55.8,73.2,11,15.5
United States,94.2,59.6,32.2,37.3,34.9,62.3,6.7,29.5
